X,Y,METER_ID,STREET_ADD,STATUS,LATITUDE,LONGITUDE,LONLATCONC
6048312.7102303058,2117237.1838213056,30343,0343 3rd St Oakland CA,,37.79616563,-122.27679260,"-122.2767926, 37.79616563"
6048287.7824586481,2117303.2473374605,30345,0345 3rd St Oakland CA,NO METER FOUND,37.79634573,-122.27688320,"-122.2768832, 37.79634573"
6048293.9084306508,2117246.9187099636,30349,0349 3rd St Oakland CA,,37.79619138,-122.27685830,"-122.2768583, 37.79619138"
6048287.7824586481,2117303.2473374605,30402,0402 3rd St Oakland CA,,37.79634573,-122.27688320,"-122.2768832, 37.79634573"
6048268.4954237342,2117260.0604159683,30404,0404 3rd St Oakland CA,,37.79622614,-122.27694710,"-122.2769471, 37.79622614"
6048243.2835318893,2117273.1109147966,30406,0406 3rd St Oakland CA,,37.79626066,-122.27703520,"-122.2770352, 37.79626066"
6048243.2835318893,2117273.1109147966,30429,0429 3rd St Oakland CA,,37.79626066,-122.27703520,"-122.2770352, 37.79626066"
6048289.7519428879,2117282.1853717119,30433,0433 3rd St Oakland CA,,37.79628800,-122.27687500,"-122.276875, 37.796288"
6048218.7579903901,2117285.7952726334,30438,0438 3rd St Oakland CA,,37.79629421,-122.27712090,"-122.2771209, 37.79629421"
6048276.3126653135,2117289.7243986279,30439,0439 3rd St Oakland CA,,37.79630800,-122.27692200,"-122.276922, 37.796308"
6048262.8664979786,2117296.8992530555,30440,0440 3rd St Oakland CA,,37.79632700,-122.27696900,"-122.276969, 37.796327"
6048249.4200025648,2117304.0741074681,30441,0441 3rd St Oakland CA,,37.79634600,-122.27701600,"-122.277016, 37.796346"
6048161.0356649011,2117315.6659477949,30442,0442 3rd St Oakland CA,NO METER FOUND,37.79637322,-122.27732260,"-122.2773226, 37.79637322"
6048144.5232307315,2117324.2138309628,30443,0443 3rd St Oakland CA,,37.79639583,-122.27738030,"-122.2773803, 37.79639583"
6048089.2881049812,2117378.4965308011,30444,0444 3rd St Oakland CA,NO METER FOUND,37.79654200,-122.27757500,"-122.277575, 37.796542"
6048042.1897739768,2117430.5777914673,30445,0445 3rd St Oakland CA,,37.79668255,-122.27774140,"-122.2777414, 37.79668255"
6048008.131115064,2117394.7845559716,30460,0460 3rd St Oakland CA,,37.79658249,-122.27785690,"-122.2778569, 37.79658249"
6048022.5838420689,2117440.5689132214,30462,0462 3rd St Oakland CA,,37.79670896,-122.27780990,"-122.2778099, 37.79670896"
6047988.7636997253,2117405.1601913869,30465,0465 3rd St Oakland CA,,37.79660997,-122.27792460,"-122.2779246, 37.79660997"
6048036.3023185581,2117418.8353608847,30467,0467 3rd St Oakland CA,,37.79665000,-122.27776100,"-122.277761, 37.79665"
6047968.9884768128,2117415.3616145551,30469,0469 3rd St Oakland CA,,37.79663695,-122.27799370,"-122.2779937, 37.79663695"
6047979.7784814835,2117463.0764141381,30472,0472 3rd St Oakland CA,,37.79676853,-122.27795950,"-122.2779595, 37.79676853"
6047962.4524006397,2117471.3779067099,30474,0474 3rd St Oakland CA,,37.79679042,-122.27802000,"-122.27802, 37.79679042"
6047914.9839916378,2117496.3637491316,30475,0475 3rd St Oakland CA,,37.79685655,-122.27818590,"-122.2781859, 37.79685655"
6047898.9239843935,2117504.3643893003,30476,0476 3rd St Oakland CA,,37.79687768,-122.27824200,"-122.278242, 37.79687768"
6047851.6238821447,2117529.0775944591,30477,0477 3rd St Oakland CA,,37.79694307,-122.27840730,"-122.2784073, 37.79694307"
6047812.7076213956,2117549.4030131251,30478,0478 3rd St Oakland CA,,37.79699685,-122.27854330,"-122.2785433, 37.79699685"
6049362.876437068,2117000.8847532123,30479,0479 3rd St Oakland CA,,37.79557149,-122.27314320,"-122.2731432, 37.79557149"
6049296.4897588044,2117063.1480801255,30480,0480 3rd St Oakland CA,,37.79573900,-122.27337700,"-122.273377, 37.795739"
6049306.1439389735,2117031.2262279689,30481,0481 3rd St Oakland CA,,37.79565185,-122.27334150,"-122.2733415, 37.79565185"
6048872.5768927336,2117322.7299100459,30482,0482 3rd St Oakland CA,NO PARKING METER,37.79642970,-122.27486090,"-122.2748609, 37.7964297"
6048857.4155057222,2117330.8949199617,30483,0483 3rd St Oakland CA,,37.79645133,-122.27491390,"-122.2749139, 37.79645133"
6048836.6757178158,2117342.0828897208,30485,0485 3rd St Oakland CA,,37.79648097,-122.27498640,"-122.2749864, 37.79648097"
6048794.9622185677,2117295.7227462083,30487,0487 3rd St Oakland CA,,37.79635150,-122.27512770,"-122.2751277, 37.7963515"
6048751.9173571467,2117317.8260484636,40353,0353 4th St Oakland CA,,37.79640995,-122.27527810,"-122.2752781, 37.79640995"
6048700.8190341443,2117412.0095871389,40354,0354 4th St Oakland CA,,37.79666590,-122.27546110,"-122.2754611, 37.7966659"
6048667.1294689775,2117362.0920360535,40355,0355 4th St Oakland CA,,37.79652708,-122.27557440,"-122.2755744, 37.79652708"
6048680.9204518944,2117421.8156698793,40356,0356 4th St Oakland CA,,37.79669179,-122.27553060,"-122.2755306, 37.79669179"
6048667.1294689775,2117362.0920360535,40357,0357 4th St Oakland CA,,37.79652708,-122.27557440,"-122.2755744, 37.79652708"
